interval,horizon,n,mean_bps,t_stat,p_value
5m,1,445518,0.05756583029153371,1.7975423958540602,0.07225023078247898
5m,3,445512,0.14153380472220323,2.5960325230726586,0.009431023271668839
5m,6,445503,0.2030429950607189,2.6594523463284316,0.007827060038584898
5m,12,445485,0.25069320245958665,2.3460943575409017,0.018971739922294624
5m,24,445449,-0.34555184189180815,-2.2967902358913945,0.02163120050814874
5m,48,445377,0.48445079132180574,2.2752427328891085,0.022891845655607986
15m,1,148302,0.059942910941684004,0.6428639602830082,0.5203133703494497
15m,3,148296,0.27273736488377903,1.7016863915842313,0.08881626892804147
15m,6,148287,0.8427399052967162,3.742620026133433,0.00018218015613480468
15m,12,148269,1.9031195660001734,5.96794130738733,2.408087180421983e-09
15m,24,148233,2.757613242639646,6.045752220949721,1.4906807504192795e-09
15m,48,148161,3.6357458180185582,5.612673238341135,1.9957937371249818e-08
1h,1,36846,0.32231006909522597,0.8694848883993692,0.38458763402051765
1h,3,36840,0.06506568497866724,0.10124268148373124,0.9193583668177707
1h,6,36831,-1.2109532600157438,-1.3188204104466434,0.18723735910843706
1h,12,36813,-5.749368087173503,-4.412637603535369,1.0240861516506504e-05
1h,24,36777,-5.7444637908659875,-3.1576425270994117,0.0015917896413242434
1h,48,36705,-3.8198257940528575,-1.5213053663510798,0.12819183857227978
