definition,interval,symbol,n_events
any,5m,BTCUSDT,4499
any,5m,ETHUSDT,5097
any,5m,SOLUSDT,4828
any,15m,BTCUSDT,1767
any,15m,ETHUSDT,1720
any,15m,SOLUSDT,1679
any,1h,BTCUSDT,412
any,1h,ETHUSDT,399
any,1h,SOLUSDT,408
gray,5m,BTCUSDT,4499
gray,5m,ETHUSDT,5097
gray,5m,SOLUSDT,4828
gray,15m,BTCUSDT,1767
gray,15m,ETHUSDT,1720
gray,15m,SOLUSDT,1679
gray,1h,BTCUSDT,412
gray,1h,ETHUSDT,399
gray,1h,SOLUSDT,408
blue,5m,BTCUSDT,0
blue,5m,ETHUSDT,0
blue,5m,SOLUSDT,0
blue,15m,BTCUSDT,0
blue,15m,ETHUSDT,0
blue,15m,SOLUSDT,0
blue,1h,BTCUSDT,0
blue,1h,ETHUSDT,0
blue,1h,SOLUSDT,0
