interval,horizon,condition,n,mean_bps,std_bps,median_bps,stderr_bps,t_stat,p_value,ci_low_bps,ci_high_bps,win_rate,n_non_overlap,non_overlap_mean_bps,non_overlap_t,non_overlap_p
5m,1,sign,14424,-0.3766938573147256,22.29783376915742,-1.0111222587128044,0.1856606286309501,-2.028937745673074,0.04248296250727676,-0.7342180491503918,-0.0015063216122383168,0.4624237382140876,14424,-0.3766938573147256,-2.028937745673074,0.04248296250727676
5m,3,sign,14424,-0.5404654770436329,37.36468966471531,-1.5586315021220987,0.3111132607575065,-1.7371984586182336,0.08237349451158775,-1.1167079221772673,0.05115242266322622,0.46547420965058234,13750,-0.6286718352403159,-1.9608383665584699,0.04991803855823168
5m,6,sign,14422,-0.7071023272159768,52.97393788974929,-1.9508033032011873,0.44111264996470384,-1.6029971647209762,0.10895718043699244,-1.5169593668009302,0.13890524379276903,0.47053113299126337,12923,-0.8124988493959039,-1.7259718121864969,0.08437638840670797
5m,12,sign,14422,-0.5468915159785072,73.83645416726101,-1.9600484762050119,0.6148342988868191,-0.8894941563420828,0.37375239980368385,-1.7297049555711834,0.6596045745361552,0.47850506171127444,11636,-1.2284404270938325,-1.7848139822567077,0.07431753977813697
5m,24,sign,14422,-0.3514037399648816,100.04261745201258,-2.5784970474973523,0.8330523621918954,-0.4218267133176138,0.6731577936328963,-1.9405804676707614,1.312074757115172,0.4808625710719734,9152,-0.6857674908828865,-0.6453403233995405,0.5187228463973343
5m,48,sign,14421,-0.6443915809779567,141.40761476058267,-2.704002867499611,1.177538480673849,-0.5472361129202353,0.5842249977393624,-2.820728090131484,1.5250426133008044,0.4853338880798835,6140,-0.10783829425281259,-0.05983919216386671,0.9522856584093788
15m,1,sign,5166,0.5568185451045685,38.34503653445355,-1.4041847260037876,0.5334969672806705,1.0437145462002761,0.2966663241441923,-0.4144562518301976,1.5567827887386199,0.4711575687185443,5166,0.5568185451045685,1.0437145462002761,0.2966663241441923
15m,3,sign,5166,-1.1450518414991462,60.48011628963309,-2.741732311841716,0.8414637600438877,-1.3607856878345235,0.17364079900987636,-2.813139503747571,0.48730707621998465,0.4651567944250871,4968,-1.083587345514997,-1.2564099870005863,0.20902644944559134
15m,6,sign,5166,-0.7189701340204326,88.07308149861413,-2.3717337932793736,1.2253664652622183,-0.5867388690668788,0.5574047415874201,-3.291441854720129,1.779963713699763,0.4742547425474255,4698,-0.8978913500051974,-0.6993132610678001,0.4843909092948339
15m,12,sign,5163,-0.6221264309250031,124.385839623262,-2.2771262666509973,1.7310909245427446,-0.3593840289407868,0.7193225208372513,-4.018950577283472,2.6768621712388043,0.4851830331202789,4235,0.19822325776966118,0.10268621299170759,0.9182168791216971
15m,24,sign,5162,-1.7711388374486312,175.10649011348275,-3.480157890507485,2.4372116358446987,-0.7267070333162853,0.4674384023229971,-6.996396665307757,3.2544720668440803,0.487020534676482,3277,-3.1499885004467996,-1.0325636556951117,0.30188436388630685
15m,48,sign,5159,-1.5265459644300432,247.68745959133963,-4.456571601061388,3.4484287316055813,-0.4426787047790564,0.6580167102978868,-8.354235735221064,4.8819227431133045,0.49001744524132584,2135,-5.106311435091268,-0.9671245776651836,0.3335913498609426
1h,1,sign,1219,2.3953448994359734,81.64181591517081,-2.2908184382008923,2.338356929635551,1.0243709457175576,0.3058635003397465,-2.3429026025772597,7.227713313447996,0.4782608695652174,1219,2.3953448994359734,1.0243709457175576,0.3058635003397465
1h,3,sign,1219,5.528821335857201,123.74271130595632,0.2473117215862075,3.544196356127425,1.5599647368009493,0.11902799103195467,-1.5838767508210498,12.185745972964181,0.5020508613617719,1173,5.5401871386471635,1.5232662013702842,0.1279618849455371
1h,6,sign,1219,5.705969732305275,183.89042423824006,-3.4138858669674477,5.266926549721763,1.0833585162881576,0.27886373178097107,-4.241924114354297,15.215015225125082,0.4831829368334701,1121,4.372229609707114,0.7817996098803647,0.4344975872446454
1h,12,sign,1216,3.8257109897043278,236.38673964904632,-8.224471989336513,6.778854669231922,0.5643594938048435,0.5726136643539231,-8.958207154669015,16.19118285127402,0.4753289473684211,1038,3.202296302866129,0.4280289259920488,0.6687189383422915
1h,24,sign,1215,9.132870087419949,319.8037073020085,-4.521353117677984,9.17477357360052,0.9954327498281652,0.31972420073838653,-8.65525753940506,27.51434742223414,0.48806584362139915,801,0.5231014075413637,0.04554213754673582,0.963686554222181
1h,48,sign,1212,35.20919747376757,457.8965902804475,20.68899239352384,13.152735895747464,2.6769485643782587,0.007529970066022515,11.81223343877786,58.10918087655835,0.5181518151815182,530,45.38742089222243,2.3804094901705786,0.017646599550264902
