interval,utc_hour,n,signed_mean_bps,median_abs_bps,share,vs_uniform
5m,0,615,0.8213611910475083,22.73416186723165,0.04263727121464226,1.0232945091514143
5m,1,583,-2.2893820698341254,22.099629872458504,0.040418746533555185,0.9700499168053245
5m,2,609,-0.9105157371944632,18.81840745412422,0.04222129783693843,1.0133111480865225
5m,3,587,-0.06600167247491925,16.327035468008955,0.04069606211869107,0.9767054908485857
5m,4,622,-2.5392421645199907,18.24919129676306,0.043122573488630064,1.0349417637271217
5m,5,564,0.9162423487831612,18.30343692358072,0.039101497504159734,0.9384359400998337
5m,6,610,4.7281993855317275,16.741594890634094,0.042290626733222404,1.0149750415973378
5m,7,554,3.107191925909989,19.731177219805552,0.03840820854132002,0.9217970049916806
5m,8,591,-1.3376134718876482,18.404004711425337,0.04097337770382695,0.9833610648918469
5m,9,556,-1.0069401756363168,18.795190243275364,0.038546866333887965,0.9251247920133112
5m,10,553,3.1174129787703326,17.709746867553555,0.03833887964503605,0.9201331114808653
5m,11,665,-2.652513878129765,16.7687595712096,0.04610371602884082,1.1064891846921798
5m,12,622,0.24928998760980486,22.093970106448758,0.043122573488630064,1.0349417637271217
5m,13,657,-1.1386233015037965,25.79000916001717,0.04554908485856905,1.0931780366056574
5m,14,618,-6.66173303535639,30.732254370737234,0.04284525790349417,1.0282861896838602
5m,15,558,4.495468732228071,29.404095105453052,0.03868552412645591,0.9284525790349418
5m,16,645,3.0181413509450703,23.467849658704854,0.0447171381031614,1.0732113144758737
5m,17,648,-5.732891085846987,24.449527630586722,0.04492512479201331,1.0782029950083196
5m,18,597,-0.0031959180414567988,21.361497783654038,0.04138935108153078,0.9933444259567388
5m,19,578,1.9600252186926272,19.65579971614284,0.04007210205213533,0.961730449251248
5m,20,606,-4.5834075401662115,20.557232588946928,0.04201331114808652,1.0083194675540765
5m,21,607,-1.756137628595936,19.869678286532633,0.04208264004437049,1.0099833610648918
5m,22,590,-1.719814325560819,19.660552034683754,0.04090404880754298,0.9816971713810316
5m,23,589,-5.503635845815828,18.26817683595161,0.04083471991125901,0.9800332778702163
15m,0,234,-13.992643658436346,39.52700404837195,0.04529616724738676,1.0871080139372824
15m,1,238,1.3134140787648751,28.72889118429589,0.04607046070460705,1.1056910569105691
15m,2,210,0.789536601748794,28.76059311861967,0.04065040650406504,0.975609756097561
15m,3,223,-3.8541600152700344,27.812158718600877,0.04316686024003097,1.0360046457607432
15m,4,154,-2.5035132878693926,35.453650848038535,0.02981029810298103,0.7154471544715447
15m,5,205,0.5812636130488936,26.812340873281215,0.03968253968253968,0.9523809523809523
15m,6,240,5.5543185042735965,32.10532881766315,0.04645760743321719,1.1149825783972127
15m,7,246,-1.7524174526606602,25.176073298889268,0.047619047619047616,1.1428571428571428
15m,8,258,6.280919737732811,32.18083748843081,0.04994192799070848,1.1986062717770036
15m,9,204,-6.027572858595061,29.28810856884345,0.03948896631823461,0.9477351916376308
15m,10,188,-5.640422699038225,31.03456388702075,0.03639179248935347,0.8734030197444832
15m,11,182,-3.9562802866660656,30.229352301852643,0.03523035230352303,0.8455284552845528
15m,12,169,-20.669731374342152,46.82250757939377,0.032713898567557104,0.7851335656213705
15m,13,269,0.1320359797711802,51.44238168252269,0.052071234998064264,1.2497096399535423
15m,14,274,-4.038173912250902,51.499216855299125,0.053039101819589624,1.272938443670151
15m,15,223,20.78548987105718,41.71681656012227,0.04316686024003097,1.0360046457607432
15m,16,169,12.623393316566654,52.71560599263702,0.032713898567557104,0.7851335656213705
15m,17,138,-3.0345743228364577,37.62109443730011,0.026713124274099883,0.6411149825783973
15m,18,159,7.649737017269548,31.099117418977862,0.03077816492450639,0.7386759581881533
15m,19,235,1.7174161013748186,30.247266112486404,0.04548974061169183,1.091753774680604
15m,20,225,-11.230220073540453,34.049561850297835,0.04355400696864112,1.0452961672473868
15m,21,244,-1.4942295575221292,28.682708748873907,0.047231900890437474,1.1335656213704994
15m,22,260,-3.6393927748103034,27.93054239370374,0.05032907471931862,1.207897793263647
15m,23,219,5.147508946779534,32.33970753655724,0.042392566782810684,1.0174216027874565
1h,0,41,-13.309894292846247,68.8968843297877,0.033634126333059886,0.8072190319934373
1h,1,36,1.6472457175333786,45.90801179293946,0.029532403609515995,0.7087776866283839
1h,2,41,16.731819378482587,60.36970081530701,0.033634126333059886,0.8072190319934373
1h,3,29,32.44183868557761,80.17047961473067,0.02378999179655455,0.5709598031173093
1h,4,49,-6.148044504476377,41.17259552042118,0.04019688269073011,0.9647251845775227
1h,5,32,30.692759063815284,67.43511879822861,0.026251025430680888,0.6300246103363414
1h,6,31,16.33992194752454,67.94716064379091,0.02543068088597211,0.6103363412633307
1h,7,30,-3.8858062458497384,60.76409995639631,0.02461033634126333,0.59064807219032
1h,8,43,-4.921688063692539,76.529004929069,0.03527481542247744,0.8465955701394586
1h,9,57,13.32154961603775,73.96256054457373,0.04675963904840033,1.122231337161608
1h,10,60,9.341708311078701,114.50056923957897,0.04922067268252666,1.18129614438064
1h,11,76,-8.300189049536396,64.68187543016535,0.062346185397867106,1.4963084495488106
1h,12,59,44.02678870113416,95.06668512621718,0.04840032813781788,1.1616078753076293
1h,13,75,31.012834807415825,108.99587486228101,0.06152584085315833,1.4766201804758
1h,14,58,-22.068901857789918,96.15078643548436,0.0475799835931091,1.1419196062346186
1h,15,71,60.68131839610656,60.20520011948527,0.05824446267432322,1.3978671041837574
1h,16,78,32.71248766721749,88.71347737850755,0.06398687448728466,1.5356849876948317
1h,17,66,-35.88457810381122,75.83374092841044,0.054142739950779326,1.299425758818704
1h,18,62,-20.49043573002451,66.33710776563274,0.05086136177194422,1.2206726825266614
1h,19,37,18.781758071525637,89.96697414873078,0.030352748154224774,0.7284659557013946
1h,20,52,-13.69000410932957,87.84621358576605,0.04265791632485644,1.0237899917965545
1h,21,48,-28.21203058460853,82.1018473322882,0.03937653814602133,0.945036915504512
1h,22,36,-22.212715660241997,68.75341361877452,0.029532403609515995,0.7087776866283839
1h,23,52,-8.211774624921212,95.25932037270923,0.04265791632485644,1.0237899917965545
