interval,symbol,horizon,condition,n,mean_bps,std_bps,median_bps,stderr_bps,t_stat,p_value,ci_low_bps,ci_high_bps,win_rate,n_non_overlap,non_overlap_mean_bps,non_overlap_t,non_overlap_p
5m,BTCUSDT,1,sign,4499,-0.5610012257154398,15.103846253744923,-0.5845051755892783,0.22517986767597886,-2.491347168400902,0.01276173691774481,-0.9829633592025653,-0.13275861195715283,0.4665481218048455,4499,-0.5610012257154398,-2.491347168400902,0.01276173691774481
5m,BTCUSDT,3,sign,4499,-0.8976854060952788,25.709487901413944,-1.0353056939171879,0.38329700835124386,-2.34200994669038,0.019223601039301357,-1.5774349442470736,-0.17162579934564182,0.4705490108913092,4259,-1.0608830405752128,-2.6573048719864243,0.00790623024625133
5m,BTCUSDT,6,sign,4498,-0.9169934101194049,37.78166670746767,-1.2540590030002408,0.5633410345502363,-1.6277766998662182,0.10364229596288922,-1.9006953501229835,0.1270625088399126,0.4757670075589151,3997,-1.1026576413476785,-1.8119368380105767,0.07007098913214083
5m,BTCUSDT,12,sign,4498,-1.041728966724469,51.856627934687396,-1.2072304883226082,0.7732048100260077,-1.3472872300023964,0.17795562260194192,-2.550853227999884,0.4481203687411144,0.48265895953757226,3607,-1.0451179717881272,-1.164469314702641,0.24431090421269067
5m,BTCUSDT,24,sign,4498,-0.10263532750477411,68.9926544137081,-2.0369354179167187,1.0287103958307686,-0.0997708664369894,0.9205306850547569,-2.0088007922628446,1.8637503134521418,0.47954646509559806,2871,-1.0609341827998509,-0.8137223746276295,0.4158715170876736
5m,BTCUSDT,48,sign,4497,-0.7934260695929497,97.331348366869,-2.5655857552986383,1.4514139605814067,-0.5466573225429907,0.5846413074041137,-3.8368936887195595,2.206091983963268,0.48120969535245717,1958,2.2902228172166095,1.0436775132804466,0.2967635194452388
5m,ETHUSDT,1,sign,5097,-0.12052268560544595,23.773083317628465,-1.1326980374781748,0.3329877030226691,-0.36194335259654026,0.7174093695119476,-0.8029164318364779,0.5724898924425716,0.46674514420247204,5097,-0.12052268560544595,-0.36194335259654026,0.7174093695119476
5m,ETHUSDT,3,sign,5097,-0.06899367091882437,39.45140575071032,-1.9627745781447548,0.5525927287775493,-0.12485446754149807,0.9006436905167219,-1.0967677173044632,1.0257910407580904,0.46615656268393174,4885,-0.3265059640224828,-0.5814183923095751,0.5609853359992948
5m,ETHUSDT,6,sign,5096,-0.10419545087604784,56.834876247700365,-2.0568716468172266,0.7961597336254264,-0.13087254538932666,0.8958813003573272,-1.676141095150968,1.52550803341025,0.4705651491365777,4577,-0.0930345341094869,-0.1099572451658764,0.9124481043507102
5m,ETHUSDT,12,sign,5096,0.2018246737526145,77.41160453697903,-2.5042046310908006,1.084404621188417,0.18611565259785734,0.8523614766323281,-1.9305440319080118,2.4298570531288433,0.4766483516483517,4112,-0.34793593845386145,-0.29074299191556086,0.7712625545031777
5m,ETHUSDT,24,sign,5096,0.7038794090961836,106.83493975887349,-3.3208476397650344,1.4965753916593558,0.4703267292907605,0.6381417351016628,-2.331252752553045,3.8334773976012877,0.47802197802197804,3199,0.5668707505430617,0.2927319827375722,0.769746012724443
5m,ETHUSDT,48,sign,5096,0.8182770633909499,145.95215063007362,-2.0322216365298296,2.0445408354768646,0.40022534604944515,0.6890073270127003,-3.1100530417969217,4.668191718859945,0.4899921507064364,2120,-0.5137707063253514,-0.15890178401617297,0.8737613976478782
5m,SOLUSDT,1,sign,4828,-0.47539013150018256,26.005057799985384,-1.3611125341461694,0.3742606716832574,-1.2702112924718756,0.20407059908446717,-1.208853125307694,0.2842819159609442,0.4540182270091135,4828,-0.47539013150018256,-1.2702112924718756,0.20407059908446717
5m,SOLUSDT,3,sign,4828,-0.7053286367401518,43.72788183365443,-2.2116554511297792,0.6293247472173976,-1.1207705399458876,0.2624413035731634,-1.8875195655344086,0.5296186586213276,0.4600248550124275,4606,-0.5494909315012333,-0.8427518245661774,0.3994110246501141
5m,SOLUSDT,6,sign,4828,-1.147931521691673,60.363898141349935,-2.9881000996861973,0.8687476581503332,-1.3213635869082578,0.18644278849365256,-2.803871619830296,0.5643379896466653,0.4656172328086164,4349,-1.3030078122919,-1.4124111846347238,0.15790049377189525
5m,SOLUSDT,12,sign,4828,-0.8761539122946749,86.34948636361288,-2.4657477941714134,1.2427281267557189,-0.7050246095113121,0.48082893818397704,-3.276273975092627,1.5943824179202493,0.47659486329743167,3917,-2.3215929809807974,-1.6757686504928353,0.09386334787824531
5m,SOLUSDT,24,sign,4828,-1.69702993028401,115.82811394085525,-2.6300677917551196,1.6669798643298426,-1.0180266520293262,0.30871631159759855,-4.970003071763903,1.6815046541844159,0.4850869925434963,3082,-1.6364768230788642,-0.7763408566758093,0.4376073477208356
5m,SOLUSDT,48,sign,4828,-2.0494353499096722,168.59084713442246,-3.610551623109415,2.426332760860612,-0.8446637588088884,0.3983404609940884,-6.6285480760810325,2.4367426123237808,0.48425849212924604,2062,-1.9675991781826612,-0.5373305531340332,0.5910973105754792
15m,BTCUSDT,1,sign,1767,-0.8492835531976368,23.860204272485596,-1.5810716771047506,0.567617638707416,-1.496224738772447,0.13477378194298675,-1.801224600432477,0.1424839546824201,0.4567062818336163,1767,-0.8492835531976368,-1.496224738772447,0.13477378194298675
15m,BTCUSDT,3,sign,1767,-1.4814823988613404,41.34166871272235,-2.631483758952502,0.9834895002135353,-1.5063530404134264,0.1321554100158537,-3.235472302868686,0.4152554554436153,0.4538766270514997,1691,-1.279296999296711,-1.2732800601270466,0.20309378857268848
15m,BTCUSDT,6,sign,1767,0.3688257055926457,59.16680727841404,-1.5264036683526605,1.4075371297620314,0.26203621758454226,0.7933240795613683,-2.3040979719090844,3.2414630976655143,0.47877758913412566,1588,-0.1681312849893874,-0.11607179028111063,0.9076103310289747
15m,BTCUSDT,12,sign,1766,0.7625819621893825,90.0701842713386,-2.714824393735271,2.1433135108029666,0.35579580791411625,0.722036007383256,-3.396847949713443,5.070671245023079,0.4762174405436014,1407,-0.6285809308669748,-0.26220214431739075,0.7932040096892936
15m,BTCUSDT,24,sign,1766,-0.1670238066714685,124.11272885075381,-4.030659039049311,2.9533911888875095,-0.05655322847170252,0.9549074942422259,-6.458966355153981,5.923319468981787,0.4784824462061155,1092,-3.657692199208273,-1.0279455525074255,0.30420328324126655
15m,BTCUSDT,48,sign,1765,-1.5998936236325254,172.9614816904873,-5.107112877432707,4.116963741939792,-0.3886100835269204,0.6976115039064859,-9.518003885339887,6.1642688557133445,0.4838526912181303,715,5.3489208310110445,0.9091116865854462,0.3635979383529452
15m,ETHUSDT,1,sign,1720,1.453673548196691,41.40285204815101,-1.0228720220828436,0.9983114108802186,1.456132357452447,0.14553864511861492,-0.4097986367504508,3.369224781203879,0.48430232558139535,1720,1.453673548196691,1.456132357452447,0.14553864511861492
15m,ETHUSDT,3,sign,1720,1.6350369242248506,64.63871711580389,-1.8689768798152429,1.5585778681700093,1.0490569368501395,0.2942993795771389,-1.2552367635439519,4.541681480409716,0.4808139534883721,1667,1.5921212223017414,1.0028325245599423,0.3160873026424908
15m,ETHUSDT,6,sign,1720,2.4737776160132783,91.46082312086578,-2.7004956255860524,2.2053162729917597,1.1217337151633677,0.26213234202332625,-1.4050902076654606,6.599721534224106,0.4738372093023256,1586,2.8881950112647203,1.2655069766612328,0.20587564540378733
15m,ETHUSDT,12,sign,1719,3.719765196695656,128.93168765445208,-0.06726419694902397,3.1097231668085317,1.196172455605816,0.23179432532455171,-2.287502062908391,9.875290295416066,0.4985456660849331,1442,3.902050564712537,1.1434215709517659,0.2530535186304335
15m,ETHUSDT,24,sign,1719,6.219103380204442,181.97808214969874,0.26521882447338996,4.389157298778005,1.4169242423678723,0.15668638464162635,-2.1985286760110316,14.796021899765101,0.5008726003490401,1101,0.43592847669673285,0.07961995183650551,0.9365540082891238
15m,ETHUSDT,48,sign,1718,10.079378651675485,264.8962028671358,-0.5574872290697863,6.390931361173316,1.577137678697429,0.11494805963661284,-1.3263607116783227,22.239541228158064,0.4988358556461001,714,5.669820787142423,0.5922787805768799,0.5538516938172796
15m,SOLUSDT,1,sign,1679,1.117861905665346,46.55476274158477,-1.703432416318984,1.1361581015162485,0.9838964349886821,0.32530827723679817,-0.9626006614508499,3.128454843630074,0.4729005360333532,1679,1.117861905665346,0.9838964349886821,0.32530827723679817
15m,SOLUSDT,3,sign,1679,-3.638964814808425,71.87360150143303,-4.490345756622549,1.7540584426190498,-2.074597246243946,0.03817600317579974,-7.026406432419794,-0.2810606710329409,0.46098868374032165,1610,-3.648470052350787,-2.020479759676556,0.043499039707148995
15m,SOLUSDT,6,sign,1679,-5.134492098674567,107.66242667552588,-4.27213499946566,2.6274763545735955,-1.9541534939932226,0.050848968811599116,-10.775012722936165,0.4987141349119143,0.4699225729600953,1524,-5.598411003692333,-2.013740746483124,0.044212348716665004
15m,SOLUSDT,12,sign,1678,-6.5274343749774015,148.32304663169907,-4.759639345747746,3.620867720934921,-1.8027265501132406,0.07161063642375708,-13.67064767090272,0.40948022796829797,0.48092967818831944,1386,-2.8159221125044227,-0.6982993189990607,0.48510724981193637
15m,SOLUSDT,24,sign,1677,-11.650741411389063,209.96750967213245,-5.6494273535012685,5.127262658772568,-2.2723121842519713,0.023193850357139747,-22.944447955147133,-0.9753723158773296,0.48181276088252833,1084,-6.280691593424197,-0.9772124801853467,0.328682199851691
15m,SOLUSDT,48,sign,1676,-13.346068561074983,291.90046079798367,-9.108881347819064,7.130135339575638,-1.8717833428768125,0.0614107406184408,-28.19212652814005,0.3834743732455595,0.48747016706443913,706,-26.593067068147935,-2.3788838010063875,0.017630444161652475
1h,BTCUSDT,1,sign,412,6.079742599982637,56.989267348082315,-0.3735463461673749,2.8076596829598937,2.1654129369316037,0.030930720796288756,0.12628521746100638,13.108446411083273,0.49514563106796117,412,6.079742599982637,2.1654129369316037,0.030930720796288756
1h,BTCUSDT,3,sign,412,6.681458284890309,82.24461297596609,1.7700946733750778,4.051901256825516,1.6489686844256746,0.09991814553417466,-1.8781260349931617,13.718343181554161,0.5194174757281553,398,6.590157651590876,1.5903506981767914,0.11255174198570785
1h,BTCUSDT,6,sign,412,1.4183364623791932,116.43126400328246,-1.2773118226538926,5.736156665805528,0.24726250432353145,0.8048285430308812,-11.406481392516286,13.665986770018415,0.49271844660194175,374,2.493295079127037,0.40514730621142325,0.685601498623794
1h,BTCUSDT,12,sign,411,0.22068745993697206,160.52172026508478,-1.9936791006247567,7.917952541521463,0.027871783618264295,0.9777779742616746,-14.421006207944176,14.101259922941926,0.49148418491484186,347,-1.0945149125715863,-0.12484757294605205,0.9007167274610014
1h,BTCUSDT,24,sign,411,-2.6483241694379016,221.54413405264737,-10.225039657171253,10.927966236497424,-0.24234373643953797,0.8086350041977881,-21.87366046011128,13.908592231739366,0.46472019464720193,262,7.657404675503528,0.5821475102996361,0.5609698412747334
1h,BTCUSDT,48,sign,410,22.597856535701744,296.6409416459953,15.128866565811139,14.65005188208767,1.542510341777813,0.12372295586062924,-6.415496240500309,44.10605604919866,0.5195121951219512,176,45.558438504638296,2.1462435871837746,0.03323104422731191
1h,ETHUSDT,1,sign,399,-0.176933670225127,79.26230249670814,-5.851400435170628,3.9680783266860997,-0.044589258492004465,0.9644570671650902,-8.0391413956524,6.846016393078255,0.45864661654135336,399,-0.176933670225127,-0.044589258492004465,0.9644570671650902
1h,ETHUSDT,3,sign,399,2.88591298480502,124.41408627523863,-3.0807147258160583,6.228494804370997,0.46334035356018305,0.6433736921543862,-8.877202075902998,13.280519111034042,0.48120300751879697,382,3.9683605522477525,0.6210427317142405,0.5349428655193014
1h,ETHUSDT,6,sign,399,6.03034674617892,193.77190202372182,-5.2321489762297,9.700728600118655,0.6216385381717783,0.5345354761990494,-13.536328283665801,23.607215730472383,0.47619047619047616,367,4.634459891233717,0.45610418636953004,0.6485855744837802
1h,ETHUSDT,12,sign,398,4.927417896000408,253.5198567564174,-18.04654581246512,12.707802154680348,0.38774745121331744,0.6984107460599599,-19.39070421395903,27.544879857882226,0.4547738693467337,337,8.607672110448902,0.5990126099488591,0.5495681217938562
1h,ETHUSDT,24,sign,398,1.4889290085807079,340.68391019726056,-6.279608900496836,17.07694136254313,0.08718944317783694,0.9305648901346576,-34.615226974649744,37.819191389658044,0.4798994974874372,264,-24.690919834312094,-1.2038500153706755,0.22972994546574424
1h,ETHUSDT,48,sign,397,3.7811029326020176,489.475503800914,-2.2403272208615377,24.566071338544855,0.1539156538501686,0.8777546477010187,-34.35567260926987,44.70759492455651,0.49370277078085645,177,-24.318117975624645,-0.6804789218038856,0.4970954575088663
1h,SOLUSDT,1,sign,408,1.1903627834299777,102.47956388705154,-2.5640336362608984,5.073494419404261,0.23462384798873048,0.8146186859892198,-9.401987426307052,11.754378020402818,0.4803921568627451,408,1.1903627834299777,0.23462384798873048,0.8146186859892198
1h,SOLUSDT,3,sign,408,6.949492926710581,154.4229842569781,1.7571725687770545,7.645076922058627,0.909015435365856,0.363879940055702,-8.579016358559105,22.847153100466695,0.5049019607843137,393,6.004689662446089,0.7635242607731673,0.4456100759398627
1h,SOLUSDT,6,sign,408,9.718416983957145,225.29142528423978,-5.070128043768718,11.153587559945151,0.8713265513652305,0.38408954579375204,-8.942125947588709,28.72153467964903,0.4803921568627451,380,5.968237507382604,0.5050158084453156,0.6138412568701753
