interval,horizon,min_run,n,median_abs_bps,signed_mean_bps,signed_t,signed_p
5m,6,1,14422,20.403991322456292,-0.7071023272159768,-1.6029971647209762,0.10895718043699244
5m,6,3,10131,20.680737599587662,-0.8943602469135782,-1.6990369516304678,0.08934292661642897
5m,6,5,7589,21.03213630685108,-1.2184683391006808,-1.9650941346788393,0.049439768618291455
5m,6,10,3915,21.620577192791313,-1.5039051039421338,-1.6645994084493028,0.09607274461104454
5m,6,20,1094,23.144081523845948,-2.982986531527021,-1.717199523504931,0.08622600362059418
5m,12,1,14422,28.694871569019952,-0.5468915159785072,-0.8894941563420828,0.37375239980368385
5m,12,3,10131,29.543050153488792,-0.8786492797119502,-1.1710158660894894,0.24161994425049513
5m,12,5,7589,29.87158311066329,-1.5747893035491172,-1.8017647165627049,0.07162210784561869
5m,12,10,3915,30.718411535965995,-1.9786567996591615,-1.5705812354675015,0.11636078265093151
5m,12,20,1094,32.45121689082975,-3.3300289487127297,-1.3536053666642816,0.17614215724379137
15m,6,1,5166,33.87520049689119,-0.7189701340204326,-0.5867388690668788,0.5574047415874201
15m,6,3,3851,33.88085276780251,-0.4342363950852623,-0.3032392207642678,0.7617239456504822
15m,6,5,3052,34.2872582259518,0.7431648207502415,0.45983283139163184,0.645668980161325
15m,6,10,1766,34.01042915553987,-0.8154146157401108,-0.3890736796821358,0.6972685761862233
15m,6,20,580,32.129134224325725,3.128372171992751,0.8713983453245004,0.3838978576210022
15m,12,1,5163,49.60317460317442,-0.6221264309250031,-0.3593840289407868,0.7193225208372513
15m,12,3,3848,48.862409830664475,-1.1613966876448707,-0.5818209383026224,0.5607213902904132
15m,12,5,3049,48.99384702971354,0.6192182884739418,0.27328361878315605,0.7846537215307456
15m,12,10,1765,48.533333877696094,-1.0750722796870973,-0.3694914571867359,0.7118057886231028
15m,12,20,580,47.6905089073254,0.24637032307493884,0.04479896470242471,0.9642829961105194
1h,6,1,1219,78.1162681810632,5.705969732305275,1.0833585162881576,0.27886373178097107
1h,6,3,930,79.19302919302874,4.789533095229852,0.7934010924567028,0.4277467648614254
1h,6,5,760,78.92905829309015,5.281965886955585,0.783436853263515,0.433615013964605
1h,6,10,426,82.634265794872,8.821434430439165,1.0333866305060655,0.30201066720308867
1h,6,20,149,67.01625589931814,-4.258119442160558,-0.2745981783992376,0.7840078987229485
1h,12,1,1216,108.93472228332868,3.8257109897043278,0.5643594938048435,0.5726136643539231
1h,12,3,927,110.48951048951095,-0.2902503728214089,-0.036847327296227035,0.9706146795742838
1h,12,5,757,113.52141171181329,-4.55860092552824,-0.5142680444183245,0.6072148927654366
1h,12,10,426,116.89595583880052,8.721098140198636,0.7280123856209768,0.4670069022840754
1h,12,20,149,112.74663326025669,-15.007988969187686,-0.7718826326050159,0.44141469476048184
