interval,horizon,n_events,n_baseline,event_std_bps,baseline_std_bps,std_ratio,event_median_abs_bps,baseline_median_abs_bps,median_abs_ratio,levene_stat,levene_p
5m,1,14424,445518,22.300203336333645,21.37567226169564,1.043251555474806,8.571475294336661,8.367302998359971,1.0244012074161422,25.927944217409696,3.545408820116556e-07
5m,3,14424,445512,37.36503974462143,36.39006258639763,1.0267924012471534,14.847079112634276,14.499719575954417,1.0239562934207294,9.747992779340096,0.0017952974876493154
5m,6,14422,445503,52.97613741040326,50.95936541704343,1.0395760813906312,20.403991322456292,20.21148292535413,1.009524704239325,10.50276911335997,0.0011920425263985779
5m,12,14422,445485,73.83679440046524,71.32062026281903,1.035279756799282,28.694871569019952,28.2437050712947,1.0159740549827436,6.725677070809563,0.009503765806316908
5m,24,14422,445449,100.04208696590119,100.41323011161462,0.9963038421799509,40.60837859290956,40.56758801957771,1.0010054966371715,0.6854323379527754,0.40772280051009524
5m,48,14421,445377,141.40463662671698,142.0964357697092,0.9951314813827323,59.856878430143425,58.55620264616057,1.0222124339558438,1.2867231109980402,0.25665331026812765
15m,1,5166,148302,38.34850264560572,35.908103135497555,1.067962362169325,15.195949444950507,14.745803244504696,1.0305270722104316,13.41299850304086,0.0002499705629719435
15m,3,5166,148296,60.48334959675498,61.720988175368134,0.9799478489375988,24.450105943412126,24.54854225916292,0.9959901360043465,0.8073247360169391,0.36891378693952886
15m,6,5166,148287,88.06332089849118,86.71363142900171,1.0155649053931568,33.87520049689119,34.989132163494304,0.9681634954134322,0.12464107145479433,0.7240548717927827
15m,12,5163,148269,124.35521234060822,122.80438656627555,1.012628423281083,49.60317460317442,50.24154589371999,0.9872939560439489,6.078910900299433e-05,0.9937791770271409
15m,24,5162,148233,175.07323447046664,175.63016466564417,0.9968289604679368,73.22356647854356,74.3061139500112,0.9854312463144566,0.13270940739062287,0.7156397106448841
15m,48,5159,148161,247.5310225876572,249.35401902100918,0.9926891235180035,109.83521910919558,114.57241276022101,0.9586532784210496,0.5428298646196623,0.4612634266456693
1h,1,1219,36846,81.66093559416606,71.15554365731107,1.1476398239250272,31.60112359550493,28.712327016151562,1.100611719061584,10.226086914363021,0.0013858135765123405
1h,3,1219,36840,123.84952447418148,123.35032762598748,1.0040469843720856,51.69748045556588,51.14557359256145,1.0107909018168622,0.24727609772885592,0.6190024978399356
1h,6,1219,36831,183.95652443074414,176.21547429813202,1.0439294571798805,78.1162681810632,75.06568247216182,1.0406388859520819,0.4451075702072339,0.5046715408623341
1h,12,1216,36813,236.22869766116787,250.03980277877537,0.9447643736552337,108.93472228332868,115.23252332717892,0.9453470178209242,1.1795636713814766,0.27745172584354594
1h,24,1215,36777,319.6150955814585,348.8777707124565,0.9161234174615379,165.29415114756142,170.17338753827715,0.9713278529545741,4.440524400527273,0.03510200228049598
1h,48,1212,36705,457.73459127098886,480.8997569537056,0.9518295333949467,255.3187982294114,248.24590283092695,1.0284914889544083,0.5703596939777728,0.4501207102277358
