leader,interval,horizon,k,n_S1,mean_atr_S1,mean_bps_S1,n_S2,mean_atr_S2,mean_bps_S2,n_S3,mean_atr_S3,mean_bps_S3,difference_atr,welch_t,welch_p,diff_ci_low,diff_ci_high,s1_ci_low_bps,s1_ci_high_bps
wavetrend,5m,6,3,3434,0.030696928407412522,1.29589507545469,19655,0.018020654096753266,0.5246630043150668,45013,-0.03551799500775581,-0.5166408828058934,0.06621492341516833,1.8847980176640207,0.05953076815582976,0.0037270178046473717,0.12721321610289119,-0.15799918857736286,2.7210384583355394
wavetrend,5m,6,6,10104,-0.02318220944714246,0.013195145900303372,18525,0.024887688221766003,0.6290751399130121,39473,-0.03460526640781446,-0.5137724961336317,0.011423056960671998,0.5318624437443067,0.5948288440417989,-0.024279045736533843,0.04568522898502173,-0.8863157754619747,0.8763010760221858
wavetrend,5m,6,12,22156,-0.003818015465058704,0.2511934529482794,16561,0.013451567018163784,0.38189023867843275,29385,-0.04346917650520136,-0.6936575601529091,0.03965116104014266,2.3273563768123258,0.019950426673067817,0.013310917057724898,0.06390813629796017,-0.2671132398509308,0.763953207508939
wavetrend,15m,6,3,1189,0.09706270284878636,1.3930408211485295,8156,0.04060672683140217,1.0171449536520525,12986,0.0233045703758527,0.8360014077493017,0.07375813247293367,1.211231681127133,0.22601358531242652,-0.03731396690233191,0.17518415503017604,-3.5699633370145207,5.88701690241465
wavetrend,15m,6,6,3633,0.04541651181930167,0.497133946307527,7752,0.03615476305559753,0.9309417274504452,10946,0.02776898026479364,1.0767153445307034,0.017647531554508027,0.5006490428464178,0.6166351397819715,-0.047080598688770604,0.08151632642369731,-2.0726405956171936,2.9635732195835187
wavetrend,15m,6,12,7946,0.03611783308669469,0.8288922879257767,6941,0.038326649988499835,0.8437987248884504,7444,0.02635835429176423,1.1237626262836133,0.009759478794930457,0.3196887287126339,0.7492086870058674,-0.040532411745371325,0.06022715150955857,-0.730923280232316,2.4032567819626496
wavetrend,1h,6,3,243,0.05058022973468042,7.475965107865029,1933,0.06581233718961327,4.684788692170806,3059,-0.024200036674549123,-0.9505283867411946,0.07478026640922954,0.6044413288047352,0.5460438783244391,-0.15086806415317466,0.3012212609310504,-16.769275529673333,33.80226233412758
wavetrend,1h,6,6,765,0.06360779624670894,7.5516257575671935,1848,0.06601568096446454,4.654309975122971,2622,-0.0401138867755373,-2.446021666830701,0.10372168302224624,1.4477414624885192,0.14793653250433925,-0.021678980637622886,0.22494627310593288,-4.175174904620663,19.50386094392509
wavetrend,1h,6,12,1784,0.03556220867544499,4.584003558888902,1683,0.08448427489679312,5.7803554094617615,1768,-0.0792713141983556,-5.623026456473919,0.1148335228738006,1.9501516844501263,0.051237513931531566,0.024712970546410563,0.2040770585798957,-1.8064318768919496,11.29240502872367
adx,5m,6,3,1614,-0.0773295559160389,-0.8916937209106065,790,-0.08077130076168468,-2.6483084391694516,5725,0.002826495474568158,0.15250221108852957,-0.08015605139060707,-1.2330833114820259,0.21767324696200682,-0.1999113585907569,0.04138631763378278,-3.514658822900339,1.77294230830817
adx,5m,6,6,2982,-0.06396079707434182,-0.8232287523829761,760,-0.055331804610053215,-1.909883221022879,4387,0.013755578782998143,0.28449902292493023,-0.07771637585733997,-1.563820090796069,0.1179123711926648,-0.17203360760682684,0.01617451733840725,-2.6481273535298784,1.084827536438845
adx,5m,6,12,4345,-0.04056172962850804,-0.3054273415349475,677,-0.028005999398385325,-1.519723055275113,3107,0.007326434686275972,-0.09731183347961223,-0.047888164314784015,-0.9895648766300955,0.3224221442191996,-0.14583061281358953,0.04263927528164929,-1.8773945448788445,1.2838048919172567
adx,15m,6,3,651,0.01157787556075141,2.826948076121104,415,0.18216839075183003,5.2869678397964295,1487,0.07228392290917894,4.368981248999846,-0.06070604734842753,-0.5906357478986165,0.5548785148346607,-0.2664108948445669,0.1286471110089397,-5.671568392233229,10.731442139108754
adx,15m,6,6,1090,0.020684637053214255,3.003301682197203,401,0.18686951826969117,6.089387334111061,1062,0.08770465282849155,4.534526189980829,-0.06702001577527729,-0.7298573011194913,0.4655579807200818,-0.2587932412360843,0.11217078016847085,-3.054758502110571,8.766848908389607
adx,15m,6,12,1512,0.023649883446223915,2.5055766733765985,356,0.15658828379637277,5.374273327674115,685,0.14469959082599768,7.050272603701787,-0.12104970737977376,-1.2759865543204374,0.2021691002645627,-0.30715615969179655,0.05856048873047703,-3.133755076919923,7.675008590368004
adx,1h,6,3,180,-0.006805576130806889,6.066082175365896,99,-0.18157224317077322,-16.5044758956375,338,0.13625371066335792,12.694664645225751,-0.14305928679416482,-0.7456232922640853,0.45644076087989544,-0.5212189595548624,0.21964845255008333,-24.246777507176272,37.01893739662761
adx,1h,6,6,298,0.012575915418896874,0.45834362624869956,95,-0.2222468293221899,-20.373187252570133,224,0.19740591257830342,24.766137126589737,-0.18482999715940654,-1.0846428042466056,0.27858718653290293,-0.5734354005743677,0.1762819303263939,-24.65240045733879,24.537167257677464
adx,1h,6,12,389,0.020180564838459876,1.4394307951624123,85,-0.19176300967666524,-19.326738310129343,143,0.24687212956027163,33.78729024494313,-0.22669156472181176,-1.2236006157025208,0.22215886804139123,-0.6442002864080123,0.10032153457084045,-21.278739787942477,21.884903005035266
