leader,interval,symbol,n_signals,n_bars,n_secondary,n_S1,n_S2,n_S3,zero_division_bars,n_non_overlap_6,n_non_overlap_48
wavetrend,5m,BTCUSDT,22550,148608,3073,3132,4970,14448,1,12775,2760
wavetrend,5m,ETHUSDT,22814,148608,3074,3665,6825,12324,1,12836,2765
wavetrend,5m,SOLUSDT,22739,148608,3223,3307,6730,12702,1,12786,2764
wavetrend,15m,BTCUSDT,7413,49536,1019,1244,2330,3839,1,4215,917
wavetrend,15m,ETHUSDT,7517,49536,1022,1222,2891,3404,1,4208,917
wavetrend,15m,SOLUSDT,7404,49536,1034,1167,2531,3706,1,4177,916
wavetrend,1h,BTCUSDT,1750,12384,262,262,596,892,1,1010,223
wavetrend,1h,ETHUSDT,1714,12384,248,255,679,780,1,988,219
wavetrend,1h,SOLUSDT,1774,12384,274,249,573,952,1,998,221
adx,5m,BTCUSDT,2781,148608,2446,892,194,1695,0,2678,1600
adx,5m,ETHUSDT,2621,148608,2524,1049,295,1277,0,2545,1604
adx,5m,SOLUSDT,2727,148608,2500,1041,271,1415,0,2630,1587
adx,15m,BTCUSDT,851,49536,827,348,120,383,0,811,498
adx,15m,ETHUSDT,851,49536,863,385,156,310,0,821,497
adx,15m,SOLUSDT,851,49536,850,357,125,369,0,809,495
adx,1h,BTCUSDT,196,12384,209,99,31,66,0,195,118
adx,1h,ETHUSDT,211,12384,199,100,41,70,0,204,123
adx,1h,SOLUSDT,211,12384,210,100,23,88,0,203,128
